title,category_label,author_group,source_work,life,final_strength,strength_stars,final_complexity,complexity_stars,rule_boundary,electronicization_level,roles,rule_concepts,risks,needs_author_review,summary
鹰飞,战斗人物,黄易,覆雨翻云,2800,3.1,★★★☆☆,2.93,★★★☆☆,2.1,低,爆发输出、肉盾/生存、阵营/结盟、胜负特判,杀死/死亡/生命、专属/身份、玩家/一方/阵营/结盟,状态交互风险、目标/来源风险、胜负裁定风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★☆☆；规则边界分位 18%。
鹰缘,战斗人物,黄易,覆雨翻云,9999,1.74,★★☆☆☆,2.61,★★★☆☆,3.07,低,控制/封锁、空间/离场裁定,专属/身份、杀死/死亡/生命、离场/不在场/找不到/无此人,存在状态边界、空间状态风险,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★☆☆；规则边界分位 47%。
安隆,战斗人物,黄易,大唐双龙传,4100,2.31,★★☆☆☆,3.26,★★★☆☆,2.9,低,肉盾/生存、控制/封锁、阵营/结盟、空间/离场裁定,玩家/一方/阵营/结盟、专属/身份、离场/不在场/找不到/无此人,存在状态边界、状态交互风险、空间状态风险,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★☆☆；规则边界分位 41%。
跋锋寒,战斗人物,黄易,大唐双龙传,2700,3.66,★★★★☆,4.28,★★★★☆,3.17,低,爆发输出、持续输出、资源/学习、阵营/结盟,回合/轮/时机、攻击/伤害/生命流失、杀死/死亡/生命、玩家/一方/阵营/结盟,循环/累积风险、回合/轮/时机边界、攻击/伤害/生命流失概念边界、目标/来源风险,,第四轮收敛：最终影响力 ★★★★☆，最终复杂度 ★★★★☆；规则边界分位 51%。
白清儿,战斗人物,黄易,大唐双龙传,600,1.79,★★☆☆☆,2.19,★★☆☆☆,2.1,低,阵营/结盟,玩家/一方/阵营/结盟、专属/身份、杀死/死亡/生命,状态交互风险,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★☆☆☆；规则边界分位 18%。
毕玄,战斗人物,黄易,大唐双龙传,4000,3.0,★★★☆☆,3.76,★★★★☆,2.04,中,肉盾/生存、控制/封锁、阵营/结盟,专属/身份、杀死/死亡/生命、玩家/一方/阵营/结盟,状态交互风险、随机/人工裁定风险、目标/来源风险、结算顺序风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 14%。
杜伏威,战斗人物,黄易,大唐双龙传,3800,2.33,★★☆☆☆,2.44,★★☆☆☆,2.04,低,肉盾/生存,专属/身份、回合/轮/时机,回合/轮/时机边界、结算顺序风险,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★☆☆☆；规则边界分位 14%。
傅采林,战斗人物,黄易,大唐双龙传,3800,2.67,★★★☆☆,3.72,★★★★☆,3.08,低,控制/封锁、位置/场景、胜负特判、资源/学习,攻击/伤害/生命流失、专属/身份、学习/复制/特技所有权、杀死/死亡/生命,状态交互风险、攻击/伤害/生命流失概念边界、目标/来源风险、胜负裁定风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 48%。
伏难陀,战斗人物,黄易,大唐双龙传,2000,2.19,★★☆☆☆,3.14,★★★☆☆,2.04,低,肉盾/生存,专属/身份、回合/轮/时机,回合/轮/时机边界、循环/累积风险、文本解释风险、结算顺序风险,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★☆☆；规则边界分位 14%。
侯希白,战斗人物,黄易,大唐双龙传,2300,2.87,★★★☆☆,4.43,★★★★☆,3.55,低,持续输出、肉盾/生存、阵营/结盟、规则解释高风险、人工裁定、资源/牌堆,牌堆/弃牌/本局弃卡、玩家/一方/阵营/结盟、文本修改/人工裁定,人工裁定边界、循环/累积风险、文本解释风险,人工裁定边界,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 62%。
寇仲,战斗人物,黄易,大唐双龙传,3200,2.4,★★☆☆☆,5.0,★★★★★,4.45,高,爆发输出、肉盾/生存、阵营/结盟、规则解释高风险、人工裁定,回合/轮/时机、杀死/死亡/生命、玩家/一方/阵营/结盟、专属/身份、文本修改/人工裁定,目标/来源风险、状态交互风险、人工裁定边界、回合/轮/时机边界、循环/累积风险、文本解释风险、结算顺序风险,电子化/结算风险较高、规则概念边界复杂、人工裁定边界,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★★★；规则边界分位 82%。
了空,战斗人物,黄易,大唐双龙传,4100,1.86,★★☆☆☆,2.84,★★★☆☆,3.85,低,持续输出、阵营/结盟、规则解释高风险、人工裁定,攻击/伤害/生命流失、文本修改/人工裁定、杀死/死亡/生命、玩家/一方/阵营/结盟,人工裁定边界、循环/累积风险、攻击/伤害/生命流失概念边界、文本解释风险、结算顺序风险,人工裁定边界,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★☆☆；规则边界分位 70%。
李靖,战斗人物,黄易,大唐双龙传,3500,2.78,★★★☆☆,3.55,★★★★☆,5.0,低,爆发输出、肉盾/生存、位置/场景、阵营/结盟、规则解释高风险、空间/离场裁定、人工裁定,杀死/死亡/生命、专属/身份、回合/轮/时机、文本修改/人工裁定、玩家/一方/阵营/结盟、离场/不在场/找不到/无此人,目标/来源风险、人工裁定边界、回合/轮/时机边界、存在状态边界、文本解释风险、状态交互风险、空间状态风险、结算顺序风险,规则概念边界复杂、同类规则边界复杂度前 10%、人工裁定边界,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 95%。
鲁妙子,战斗人物,黄易,大唐双龙传,900,3.03,★★★☆☆,3.94,★★★★☆,3.33,低,持续输出、控制/封锁、资源/学习、阵营/结盟,回合/轮/时机、攻击/伤害/生命流失、学习/复制/特技所有权、玩家/一方/阵营/结盟,目标/来源风险、回合/轮/时机边界、循环/累积风险、攻击/伤害/生命流失概念边界,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 55%。
宁道奇,战斗人物,黄易,大唐双龙传,6000,3.16,★★★☆☆,3.81,★★★★☆,3.05,低,控制/封锁,攻击/伤害/生命流失、回合/轮/时机、专属/身份、杀死/死亡/生命,目标/来源风险、结算顺序风险、回合/轮/时机边界、攻击/伤害/生命流失概念边界、状态交互风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 46%。
曲傲,战斗人物,黄易,大唐双龙传,3999,2.79,★★★☆☆,3.8,★★★★☆,3.38,低,爆发输出、肉盾/生存、位置/场景、空间/离场裁定,回合/轮/时机、专属/身份、离场/不在场/找不到/无此人,状态交互风险、回合/轮/时机边界、存在状态边界、空间状态风险、结算顺序风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 57%。
师妃暄,战斗人物,黄易,大唐双龙传,1200,3.02,★★★☆☆,4.09,★★★★☆,4.56,低,爆发输出、肉盾/生存、位置/场景、阵营/结盟、空间/离场裁定、人工裁定,玩家/一方/阵营/结盟、专属/身份、文本修改/人工裁定、杀死/死亡/生命、离场/不在场/找不到/无此人,状态交互风险、人工裁定边界、存在状态边界、目标/来源风险、空间状态风险,规则概念边界复杂、人工裁定边界,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 84%。
石之轩,战斗人物,黄易,大唐双龙传,3100,3.03,★★★☆☆,3.91,★★★★☆,2.62,低,肉盾/生存、阵营/结盟、空间/离场裁定,玩家/一方/阵营/结盟、离场/不在场/找不到/无此人,状态交互风险、存在状态边界、文本解释风险、目标/来源风险、空间状态风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 33%。
宋缺,战斗人物,黄易,大唐双龙传,4000,3.85,★★★★☆,4.28,★★★★☆,3.39,低,爆发输出、持续输出、肉盾/生存、控制/封锁、阵营/结盟,专属/身份、攻击/伤害/生命流失、杀死/死亡/生命、回合/轮/时机、玩家/一方/阵营/结盟,状态交互风险、目标/来源风险、回合/轮/时机边界、攻击/伤害/生命流失概念边界、结算顺序风险,,第四轮收敛：最终影响力 ★★★★☆，最终复杂度 ★★★★☆；规则边界分位 58%。
婠婠,战斗人物,黄易,大唐双龙传,1200,2.5,★★☆☆☆,3.64,★★★★☆,3.66,低,肉盾/生存、位置/场景、阵营/结盟、空间/离场裁定,回合/轮/时机、专属/身份、玩家/一方/阵营/结盟、离场/不在场/找不到/无此人,状态交互风险、回合/轮/时机边界、存在状态边界、目标/来源风险、空间状态风险,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★★☆；规则边界分位 66%。
席应,战斗人物,黄易,大唐双龙传,3400,2.33,★★☆☆☆,2.69,★★★☆☆,1.79,低,肉盾/生存、控制/封锁,专属/身份、杀死/死亡/生命,状态交互风险、循环/累积风险,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★☆☆；规则边界分位 10%。
许开山,战斗人物,黄易,大唐双龙传,4500,2.94,★★★☆☆,3.29,★★★☆☆,3.05,低,持续输出、肉盾/生存、控制/封锁,回合/轮/时机、专属/身份、攻击/伤害/生命流失、杀死/死亡/生命,结算顺序风险、循环/累积风险、回合/轮/时机边界、攻击/伤害/生命流失概念边界、目标/来源风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★☆☆；规则边界分位 46%。
徐子陵,战斗人物,黄易,大唐双龙传,3000,3.04,★★★☆☆,5.0,★★★★★,4.79,中,肉盾/生存、阵营/结盟、规则解释高风险、人工裁定,回合/轮/时机、攻击/伤害/生命流失、玩家/一方/阵营/结盟、杀死/死亡/生命、文本修改/人工裁定,状态交互风险、目标/来源风险、结算顺序风险、人工裁定边界、回合/轮/时机边界、攻击/伤害/生命流失概念边界、文本解释风险,规则概念边界复杂、人工裁定边界,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★★；规则边界分位 87%。
杨虚彦,战斗人物,黄易,大唐双龙传,2800,3.9,★★★★☆,5.0,★★★★★,4.67,中,爆发输出、持续输出、肉盾/生存、控制/封锁、位置/场景、阵营/结盟、空间/离场裁定,攻击/伤害/生命流失、回合/轮/时机、专属/身份、杀死/死亡/生命、玩家/一方/阵营/结盟、离场/不在场/找不到/无此人,循环/累积风险、回合/轮/时机边界、存在状态边界、攻击/伤害/生命流失概念边界、状态交互风险、目标/来源风险、空间状态风险,规则概念边界复杂,第四轮收敛：最终影响力 ★★★★☆，最终复杂度 ★★★★★；规则边界分位 86%。
云帅,战斗人物,黄易,大唐双龙传,2400,2.34,★★☆☆☆,3.17,★★★☆☆,2.59,中,位置/场景、空间/离场裁定,离场/不在场/找不到/无此人、玩家/一方/阵营/结盟,空间状态风险、存在状态边界、文本解释风险、目标/来源风险,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★☆☆；规则边界分位 32%。
赵德言,战斗人物,黄易,大唐双龙传,3300,2.65,★★★☆☆,4.27,★★★★☆,5.0,中,控制/封锁、资源/学习、位置/场景、阵营/结盟、空间/离场裁定、资源/牌堆,回合/轮/时机、牌堆/弃牌/本局弃卡、专属/身份、学习/复制/特技所有权、杀死/死亡/生命、玩家/一方/阵营/结盟、离场/不在场/找不到/无此人,状态交互风险、目标/来源风险、回合/轮/时机边界、存在状态边界、空间状态风险、随机/人工裁定风险,规则概念边界复杂、同类规则边界复杂度前 10%,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 95%。
祝玉妍,战斗人物,黄易,大唐双龙传,3900,2.67,★★★☆☆,4.19,★★★★☆,3.07,低,控制/封锁、位置/场景、阵营/结盟、空间/离场裁定,杀死/死亡/生命、玩家/一方/阵营/结盟、离场/不在场/找不到/无此人,状态交互风险、存在状态边界、目标/来源风险、空间状态风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 47%。
左游仙,战斗人物,黄易,大唐双龙传,3094,1.75,★★☆☆☆,3.67,★★★★☆,1.76,低,待观察,专属/身份、杀死/死亡/生命,状态交互风险,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★★☆；规则边界分位 8%。
竺法庆,战斗人物,黄易,边荒传说,4600,2.54,★★★☆☆,2.78,★★★☆☆,2.18,低,肉盾/生存、控制/封锁、阵营/结盟,攻击/伤害/生命流失、玩家/一方/阵营/结盟、专属/身份,状态交互风险、攻击/伤害/生命流失概念边界、目标/来源风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★☆☆；规则边界分位 21%。
鬼影,战斗人物,黄易,边荒传说,300,2.95,★★★☆☆,3.03,★★★☆☆,3.29,低,肉盾/生存、资源/牌堆,回合/轮/时机、专属/身份、杀死/死亡/生命、牌堆/弃牌/本局弃卡,结算顺序风险、回合/轮/时机边界、循环/累积风险、目标/来源风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★☆☆；规则边界分位 53%。
慕容垂,战斗人物,黄易,边荒传说,3500,2.34,★★☆☆☆,2.37,★★☆☆☆,1.0,低,肉盾/生存,,状态交互风险,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★☆☆☆；规则边界分位 0%。
任遥,战斗人物,黄易,边荒传说,3500,2.91,★★★☆☆,3.02,★★★☆☆,3.33,低,肉盾/生存、阵营/结盟,攻击/伤害/生命流失、专属/身份、回合/轮/时机、杀死/死亡/生命、玩家/一方/阵营/结盟,结算顺序风险、回合/轮/时机边界、攻击/伤害/生命流失概念边界,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★☆☆；规则边界分位 55%。
孙恩,战斗人物,黄易,边荒传说,2500,3.13,★★★☆☆,4.2,★★★★☆,5.0,中,肉盾/生存、控制/封锁、胜负特判、对象清除裁定、空间/离场裁定、资源/牌堆,回合/轮/时机、杀死/死亡/生命、攻击/伤害/生命流失、专属/身份、清除/卡与人物单元、牌堆/弃牌/本局弃卡、玩家/一方/阵营/结盟、离场/不在场/找不到/无此人,目标/来源风险、结算顺序风险、卡对象与人物单元边界、回合/轮/时机边界、存在状态边界、循环/累积风险、攻击/伤害/生命流失概念边界、状态交互风险、胜负裁定风险,规则概念边界复杂、同类规则边界复杂度前 10%,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 95%。
向雨田,战斗人物,黄易,边荒传说,3500,3.08,★★★☆☆,3.64,★★★★☆,3.22,中,控制/封锁、位置/场景、胜负特判、空间/离场裁定,离场/不在场/找不到/无此人、杀死/死亡/生命、专属/身份,状态交互风险、空间状态风险、目标/来源风险、胜负裁定风险、存在状态边界、循环/累积风险、文本解释风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 52%。
谢玄,战斗人物,黄易,边荒传说,2600,2.86,★★★☆☆,3.27,★★★☆☆,4.16,低,持续输出、肉盾/生存、控制/封锁、胜负特判、空间/离场裁定、对象清除裁定,杀死/死亡/生命、专属/身份、清除/卡与人物单元、离场/不在场/找不到/无此人,胜负裁定风险、卡对象与人物单元边界、存在状态边界、目标/来源风险、空间状态风险,规则概念边界复杂,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★☆☆；规则边界分位 75%。
燕飞,战斗人物,黄易,边荒传说,2300,3.34,★★★☆☆,4.06,★★★★☆,4.86,中,持续输出、肉盾/生存、控制/封锁、资源/学习、空间/离场裁定、对象清除裁定,杀死/死亡/生命、专属/身份、学习/复制/特技所有权、清除/卡与人物单元、离场/不在场/找不到/无此人,状态交互风险、卡对象与人物单元边界、存在状态边界、目标/来源风险、空间状态风险、结算顺序风险,规则概念边界复杂,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 88%。
尤鸟倦,战斗人物,黄易,大唐双龙传,3900,2.7,★★★☆☆,3.52,★★★★☆,3.85,低,爆发输出、肉盾/生存、位置/场景、空间/离场裁定,回合/轮/时机、攻击/伤害/生命流失、专属/身份、离场/不在场/找不到/无此人,回合/轮/时机边界、存在状态边界、攻击/伤害/生命流失概念边界、空间状态风险、结算顺序风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 70%。
白猿,战斗人物,金庸,越女剑,1400,3.82,★★★★☆,3.44,★★★☆☆,5.0,中,肉盾/生存、控制/封锁、资源/学习、阵营/结盟、对象清除裁定、空间/离场裁定,清除/卡与人物单元、攻击/伤害/生命流失、学习/复制/特技所有权、专属/身份、玩家/一方/阵营/结盟、离场/不在场/找不到/无此人,状态交互风险、目标/来源风险、卡对象与人物单元边界、存在状态边界、攻击/伤害/生命流失概念边界、空间状态风险,规则概念边界复杂、同类规则边界复杂度前 10%,第四轮收敛：最终影响力 ★★★★☆，最终复杂度 ★★★☆☆；规则边界分位 95%。
阿青,战斗人物,金庸,越女剑,1500,1.84,★★☆☆☆,2.16,★★☆☆☆,3.99,低,控制/封锁、规则解释高风险、人工裁定、对象清除裁定,专属/身份、清除/卡与人物单元、文本修改/人工裁定,人工裁定边界、卡对象与人物单元边界、文本解释风险,人工裁定边界,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★☆☆☆；规则边界分位 72%。
太岳四侠,战斗人物,金庸,鸳鸯刀,100*4,1.8,★★☆☆☆,2.05,★★☆☆☆,3.26,低,控制/封锁、阵营/结盟、多人一卡,玩家/一方/阵营/结盟、多人一卡/共享生命、杀死/死亡/生命,多人一卡结构边界,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★☆☆☆；规则边界分位 53%。
萧半和,战斗人物,金庸,鸳鸯刀,4000,2.66,★★★☆☆,2.6,★★★☆☆,2.07,低,爆发输出、肉盾/生存、阵营/结盟、胜负特判,专属/身份、杀死/死亡/生命、玩家/一方/阵营/结盟,状态交互风险、胜负裁定风险、随机/人工裁定风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★☆☆；规则边界分位 16%。
袁冠南 萧中慧,战斗人物,金庸,鸳鸯刀,4500,2.9,★★★☆☆,3.84,★★★★☆,5.0,高,肉盾/生存、控制/封锁、资源/学习、位置/场景、阵营/结盟、空间/离场裁定、多人一卡,玩家/一方/阵营/结盟、回合/轮/时机、多人一卡/共享生命、离场/不在场/找不到/无此人、专属/身份、学习/复制/特技所有权、杀死/死亡/生命,状态交互风险、空间状态风险、结算顺序风险、回合/轮/时机边界、多人一卡结构边界、存在状态边界,电子化/结算风险较高、规则概念边界复杂、同类规则边界复杂度前 10%,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 95%。
周威信,战斗人物,金庸,鸳鸯刀,2400,1.87,★★☆☆☆,4.09,★★★★☆,3.74,中,控制/封锁、位置/场景、规则解释高风险、人工裁定、空间/离场裁定,专属/身份、文本修改/人工裁定、离场/不在场/找不到/无此人,目标/来源风险、人工裁定边界、存在状态边界、文本解释风险、状态交互风险、空间状态风险,人工裁定边界,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★★☆；规则边界分位 68%。
成昆,战斗人物,金庸,倚天屠龙记,3000,2.58,★★★☆☆,4.6,★★★★★,2.5,中,持续输出、肉盾/生存、控制/封锁、阵营/结盟,回合/轮/时机、专属/身份、玩家/一方/阵营/结盟,结算顺序风险、状态交互风险、回合/轮/时机边界,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★★；规则边界分位 29%。
黛绮丝,战斗人物,金庸,倚天屠龙记,2600,1.82,★★☆☆☆,4.29,★★★★☆,2.07,低,持续输出、控制/封锁、阵营/结盟,回合/轮/时机、玩家/一方/阵营/结盟,文本解释风险、状态交互风险、回合/轮/时机边界、目标/来源风险、结算顺序风险,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★★☆；规则边界分位 16%。
渡厄 渡劫 渡难,战斗人物,金庸,倚天屠龙记,2500*3,2.24,★★☆☆☆,2.79,★★★☆☆,3.65,低,阵营/结盟、多人一卡,攻击/伤害/生命流失、玩家/一方/阵营/结盟、专属/身份、多人一卡/共享生命,多人一卡结构边界、攻击/伤害/生命流失概念边界,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★☆☆；规则边界分位 66%。
范遥,战斗人物,金庸,倚天屠龙记,2500,1.88,★★☆☆☆,3.36,★★★☆☆,2.65,低,持续输出、肉盾/生存、阵营/结盟、对象清除裁定,玩家/一方/阵营/结盟、专属/身份、清除/卡与人物单元,状态交互风险、卡对象与人物单元边界、目标/来源风险,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★☆☆；规则边界分位 34%。
郭襄,战斗人物,金庸,倚天屠龙记,2100,3.04,★★★☆☆,5.0,★★★★★,4.61,中,爆发输出、持续输出、肉盾/生存、控制/封锁、阵营/结盟、胜负特判、空间/离场裁定,回合/轮/时机、攻击/伤害/生命流失、专属/身份、杀死/死亡/生命、玩家/一方/阵营/结盟、离场/不在场/找不到/无此人,状态交互风险、回合/轮/时机边界、存在状态边界、攻击/伤害/生命流失概念边界、空间状态风险、胜负裁定风险,规则概念边界复杂,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★★；规则边界分位 85%。
何足道,战斗人物,金庸,倚天屠龙记,4000,2.33,★★☆☆☆,3.42,★★★☆☆,1.28,低,持续输出、控制/封锁,专属/身份,状态交互风险、目标/来源风险,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★☆☆；规则边界分位 1%。
觉远,战斗人物,金庸,倚天屠龙记,5000,2.82,★★★☆☆,2.55,★★★☆☆,1.93,低,爆发输出、肉盾/生存,攻击/伤害/生命流失、专属/身份,状态交互风险、目标/来源风险、攻击/伤害/生命流失概念边界,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★☆☆；规则边界分位 13%。
空见,战斗人物,金庸,倚天屠龙记,2000,3.36,★★★☆☆,4.03,★★★★☆,4.0,低,爆发输出、肉盾/生存、位置/场景、阵营/结盟、空间/离场裁定,攻击/伤害/生命流失、杀死/死亡/生命、专属/身份、玩家/一方/阵营/结盟、离场/不在场/找不到/无此人,状态交互风险、存在状态边界、攻击/伤害/生命流失概念边界、空间状态风险、结算顺序风险,规则概念边界复杂,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 72%。
灭绝师太,战斗人物,金庸,倚天屠龙记,2500,4.27,★★★★☆,4.85,★★★★★,3.57,中,爆发输出、持续输出、肉盾/生存、控制/封锁、位置/场景、阵营/结盟、对象清除裁定,攻击/伤害/生命流失、杀死/死亡/生命、专属/身份、清除/卡与人物单元、玩家/一方/阵营/结盟,状态交互风险、卡对象与人物单元边界、攻击/伤害/生命流失概念边界、目标/来源风险,同类影响力靠前,第四轮收敛：最终影响力 ★★★★☆，最终复杂度 ★★★★★；规则边界分位 63%。
俞莲舟,战斗人物,金庸,倚天屠龙记,2600,2.68,★★★☆☆,4.03,★★★★☆,4.17,低,爆发输出、持续输出、肉盾/生存、阵营/结盟、规则解释高风险、人工裁定,回合/轮/时机、杀死/死亡/生命、文本修改/人工裁定、玩家/一方/阵营/结盟,结算顺序风险、人工裁定边界、回合/轮/时机边界、文本解释风险、状态交互风险、目标/来源风险,规则概念边界复杂、人工裁定边界,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 76%。
韦一笑,战斗人物,金庸,倚天屠龙记,2000,2.4,★★☆☆☆,4.19,★★★★☆,4.07,低,持续输出、控制/封锁、空间/离场裁定,杀死/死亡/生命、专属/身份、回合/轮/时机、离场/不在场/找不到/无此人,目标/来源风险、回合/轮/时机边界、存在状态边界、循环/累积风险、状态交互风险、空间状态风险,规则概念边界复杂,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★★☆；规则边界分位 73%。
谢逊,战斗人物,金庸,倚天屠龙记,3500,3.64,★★★★☆,4.19,★★★★☆,4.52,低,爆发输出、控制/封锁、多人一卡,杀死/死亡/生命、专属/身份、回合/轮/时机、攻击/伤害/生命流失、多人一卡/共享生命,状态交互风险、回合/轮/时机边界、多人一卡结构边界、攻击/伤害/生命流失概念边界、随机/人工裁定风险,规则概念边界复杂,第四轮收敛：最终影响力 ★★★★☆，最终复杂度 ★★★★☆；规则边界分位 83%。
玄冥二老,战斗人物,金庸,倚天屠龙记,2500*2,2.42,★★☆☆☆,4.23,★★★★☆,3.85,中,爆发输出、持续输出、资源/学习、多人一卡,多人一卡/共享生命、专属/身份、回合/轮/时机、玩家/一方/阵营/结盟,循环/累积风险、回合/轮/时机边界、多人一卡结构边界、状态交互风险、目标/来源风险、结算顺序风险、随机/人工裁定风险,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★★☆；规则边界分位 70%。
杨逍,战斗人物,金庸,倚天屠龙记,2500,3.17,★★★☆☆,4.79,★★★★★,3.09,低,爆发输出、持续输出、肉盾/生存、资源/牌堆,攻击/伤害/生命流失、专属/身份、杀死/死亡/生命、牌堆/弃牌/本局弃卡,状态交互风险、目标/来源风险、攻击/伤害/生命流失概念边界,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★★；规则边界分位 48%。
殷梨亭,战斗人物,金庸,倚天屠龙记,2500,3.25,★★★☆☆,3.66,★★★★☆,1.79,低,肉盾/生存、控制/封锁、阵营/结盟,杀死/死亡/生命、玩家/一方/阵营/结盟,状态交互风险、结算顺序风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 10%。
殷天正,战斗人物,金庸,倚天屠龙记,3700,2.67,★★★☆☆,4.53,★★★★★,2.72,低,持续输出、肉盾/生存、阵营/结盟,攻击/伤害/生命流失、玩家/一方/阵营/结盟、专属/身份、杀死/死亡/生命,循环/累积风险、攻击/伤害/生命流失概念边界、文本解释风险、目标/来源风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★★；规则边界分位 36%。
张翠山,战斗人物,金庸,倚天屠龙记,2400,2.28,★★☆☆☆,3.56,★★★★☆,4.19,低,阵营/结盟、规则解释高风险、人工裁定,攻击/伤害/生命流失、玩家/一方/阵营/结盟、专属/身份、文本修改/人工裁定、杀死/死亡/生命,文本解释风险、人工裁定边界、攻击/伤害/生命流失概念边界、状态交互风险,规则概念边界复杂、人工裁定边界,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★★☆；规则边界分位 76%。
张三丰,战斗人物,金庸,倚天屠龙记,5000,1.86,★★☆☆☆,3.98,★★★★☆,2.68,低,肉盾/生存、控制/封锁、阵营/结盟、对象清除裁定,清除/卡与人物单元、玩家/一方/阵营/结盟、专属/身份,状态交互风险、卡对象与人物单元边界,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★★☆；规则边界分位 36%。
张无忌,战斗人物,金庸,倚天屠龙记,2800,3.2,★★★☆☆,5.0,★★★★★,4.49,高,爆发输出、持续输出、肉盾/生存、资源/学习、阵营/结盟、对象清除裁定,攻击/伤害/生命流失、回合/轮/时机、玩家/一方/阵营/结盟、专属/身份、学习/复制/特技所有权、清除/卡与人物单元,状态交互风险、卡对象与人物单元边界、回合/轮/时机边界、攻击/伤害/生命流失概念边界、目标/来源风险、随机/人工裁定风险,电子化/结算风险较高、规则概念边界复杂,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★★；规则边界分位 82%。
