title,category_label,author_group,source_work,life,strength_adjusted,strength_stars,complexity,complexity_stars,electronicization_level,roles,risks,needs_author_review,summary
毕夜惊,战斗人物,黄易,破碎虚空,3900,2.94,★★★☆☆,2.22,★★☆☆☆,低,爆发输出、持续输出、资源/学习、阵营/结盟,结算顺序风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 72%，同类复杂度分位 3%。
传鹰,战斗人物,黄易,破碎虚空,3000,3.65,★★★★☆,3.58,★★★★☆,低,爆发输出、肉盾/生存、控制/封锁、位置/场景、阵营/结盟、胜负特判,状态交互风险、胜负裁定风险、空间状态风险、随机/人工裁定风险,,第二轮按同类分布校正后，强度为 ★★★★☆；同类强度分位 93%，同类复杂度分位 43%。
蒙赤行,战斗人物,黄易,破碎虚空,3500,2.2,★★☆☆☆,3.67,★★★★☆,低,阵营/结盟、规则解释高风险,状态交互风险、目标/来源风险、文本解释风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 18%，同类复杂度分位 48%。
思汉飞,战斗人物,黄易,破碎虚空,5300,2.4,★★☆☆☆,2.63,★★★☆☆,低,持续输出、控制/封锁、阵营/结盟,循环/累积风险、结算顺序风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 35%，同类复杂度分位 10%。
颜烈射,战斗人物,黄易,破碎虚空,2800,2.4,★★☆☆☆,2.38,★★☆☆☆,低,控制/封锁、位置/场景、阵营/结盟,空间状态风险、结算顺序风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 35%，同类复杂度分位 5%。
光神,战斗人物,黄易,凌渡宇系列,,3.2,★★★☆☆,5.0,★★★★★,高,爆发输出、肉盾/生存、控制/封锁、阵营/结盟、胜负特判,目标/来源风险、胜负裁定风险、状态交互风险、随机/人工裁定风险,自动理解置信度不高、电子化/结算风险较高、同类复杂度前 10%,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 87%，同类复杂度分位 95%。
凌渡宇,战斗人物,黄易,凌渡宇系列,1800,3.0,★★★☆☆,4.62,★★★★★,极高,爆发输出、控制/封锁、资源/学习,目标/来源风险、随机/人工裁定风险、状态交互风险、结算顺序风险,自动理解置信度不高、电子化/结算风险较高,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 77%，同类复杂度分位 82%。
范良极,战斗人物,黄易,覆雨翻云,,2.88,★★★☆☆,4.66,★★★★★,高,爆发输出、持续输出、资源/学习、阵营/结盟,随机/人工裁定风险、循环/累积风险、目标/来源风险,自动理解置信度不高、电子化/结算风险较高,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 68%，同类复杂度分位 83%。
赤尊信,战斗人物,黄易,覆雨翻云,3300,4.06,★★★★☆,5.0,★★★★★,高,爆发输出、肉盾/生存、控制/封锁、胜负特判,状态交互风险、目标/来源风险、空间状态风险、胜负裁定风险,自动理解置信度不高、电子化/结算风险较高、同类复杂度前 10%、同类强度前 5%,第二轮按同类分布校正后，强度为 ★★★★☆；同类强度分位 99%，同类复杂度分位 95%。
单玉如,战斗人物,黄易,覆雨翻云,3000,2.93,★★★☆☆,5.0,★★★★★,高,持续输出、肉盾/生存、胜负特判,状态交互风险、随机/人工裁定风险、目标/来源风险、结算顺序风险、胜负裁定风险,自动理解置信度不高、电子化/结算风险较高、同类复杂度前 10%,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 71%，同类复杂度分位 95%。
方夜羽,战斗人物,黄易,覆雨翻云,2300,2.74,★★★☆☆,3.61,★★★★☆,低,爆发输出、阵营/结盟,目标/来源风险、循环/累积风险、状态交互风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 58%，同类复杂度分位 45%。
封寒,战斗人物,黄易,覆雨翻云,3100,2.24,★★☆☆☆,3.42,★★★☆☆,低,待观察,文本解释风险、状态交互风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 22%，同类复杂度分位 36%。
风行烈,战斗人物,黄易,覆雨翻云,2600,2.83,★★★☆☆,3.29,★★★☆☆,低,肉盾/生存、阵营/结盟,状态交互风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 65%，同类复杂度分位 30%。
韩柏,战斗人物,黄易,覆雨翻云,2000,2.68,★★★☆☆,3.73,★★★★☆,低,持续输出、阵营/结盟,状态交互风险、循环/累积风险、目标/来源风险、随机/人工裁定风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 53%，同类复杂度分位 51%。
红日法王,战斗人物,黄易,覆雨翻云,4000,2.77,★★★☆☆,2.92,★★★☆☆,中,肉盾/生存、位置/场景,空间状态风险、结算顺序风险、文本解释风险、状态交互风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 60%，同类复杂度分位 16%。
浪翻云,战斗人物,黄易,覆雨翻云,4200,2.42,★★☆☆☆,3.47,★★★☆☆,低,爆发输出、控制/封锁、阵营/结盟、胜负特判,状态交互风险、结算顺序风险、胜负裁定风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 36%，同类复杂度分位 38%。
里赤媚,战斗人物,黄易,覆雨翻云,3400,3.13,★★★☆☆,3.28,★★★☆☆,低,肉盾/生存、控制/封锁,状态交互风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 84%，同类复杂度分位 29%。
厉若海,战斗人物,黄易,覆雨翻云,3000,3.17,★★★☆☆,5.0,★★★★★,中,持续输出、肉盾/生存、控制/封锁、阵营/结盟,状态交互风险、结算顺序风险、目标/来源风险,自动理解置信度不高、同类复杂度前 10%,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 86%，同类复杂度分位 95%。
烈震北,战斗人物,黄易,覆雨翻云,2400,1.81,★★☆☆☆,3.32,★★★☆☆,低,持续输出、控制/封锁,目标/来源风险、文本解释风险、结算顺序风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 8%，同类复杂度分位 31%。
年怜丹,战斗人物,黄易,覆雨翻云,3010,2.72,★★★☆☆,3.8,★★★★☆,中,爆发输出、持续输出、规则解释高风险,文本解释风险、循环/累积风险、随机/人工裁定风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 57%，同类复杂度分位 55%。
庞斑,战斗人物,黄易,覆雨翻云,7000,2.2,★★☆☆☆,3.45,★★★☆☆,低,爆发输出、肉盾/生存,文本解释风险、状态交互风险、目标/来源风险、空间状态风险、结算顺序风险,自动理解置信度不高,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 18%，同类复杂度分位 37%。
戚长征,战斗人物,黄易,覆雨翻云,3600,2.33,★★☆☆☆,4.17,★★★★☆,低,持续输出、肉盾/生存、阵营/结盟,状态交互风险、循环/累积风险、文本解释风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 29%，同类复杂度分位 67%。
乾罗,战斗人物,黄易,覆雨翻云,3100,2.95,★★★☆☆,3.75,★★★★☆,低,持续输出、肉盾/生存、阵营/结盟、规则解释高风险,状态交互风险、文本解释风险、目标/来源风险、结算顺序风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 73%，同类复杂度分位 52%。
秦梦瑶,战斗人物,黄易,覆雨翻云,2000,2.46,★★☆☆☆,3.38,★★★☆☆,低,肉盾/生存、控制/封锁、资源/学习、阵营/结盟,状态交互风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 38%，同类复杂度分位 34%。
虚若无,战斗人物,黄易,覆雨翻云,3400,2.58,★★★☆☆,3.55,★★★★☆,低,肉盾/生存,结算顺序风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 45%，同类复杂度分位 42%。
鹰飞,战斗人物,黄易,覆雨翻云,2800,3.02,★★★☆☆,2.93,★★★☆☆,低,爆发输出、肉盾/生存、阵营/结盟、胜负特判,状态交互风险、目标/来源风险、胜负裁定风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 78%，同类复杂度分位 16%。
鹰缘,战斗人物,黄易,覆雨翻云,9999,1.66,★★☆☆☆,2.61,★★★☆☆,低,控制/封锁,空间状态风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 1%，同类复杂度分位 9%。
安隆,战斗人物,黄易,大唐双龙传,4100,2.31,★★☆☆☆,3.26,★★★☆☆,低,肉盾/生存、控制/封锁、阵营/结盟,状态交互风险、空间状态风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 27%，同类复杂度分位 27%。
跋锋寒,战斗人物,黄易,大唐双龙传,2700,3.58,★★★★☆,4.28,★★★★☆,低,爆发输出、持续输出、资源/学习、阵营/结盟,循环/累积风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★★★☆；同类强度分位 90%，同类复杂度分位 72%。
白清儿,战斗人物,黄易,大唐双龙传,600,1.71,★★☆☆☆,2.19,★★☆☆☆,低,阵营/结盟,状态交互风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 4%，同类复杂度分位 3%。
毕玄,战斗人物,黄易,大唐双龙传,4000,2.92,★★★☆☆,3.76,★★★★☆,中,肉盾/生存、控制/封锁、阵营/结盟,状态交互风险、随机/人工裁定风险、目标/来源风险、结算顺序风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 70%，同类复杂度分位 53%。
杜伏威,战斗人物,黄易,大唐双龙传,3800,2.33,★★☆☆☆,2.44,★★☆☆☆,低,肉盾/生存,结算顺序风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 29%，同类复杂度分位 6%。
傅采林,战斗人物,黄易,大唐双龙传,3800,2.59,★★★☆☆,3.72,★★★★☆,低,控制/封锁、位置/场景、胜负特判,状态交互风险、目标/来源风险、胜负裁定风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 47%，同类复杂度分位 50%。
伏难陀,战斗人物,黄易,大唐双龙传,2000,2.19,★★☆☆☆,3.14,★★★☆☆,低,肉盾/生存,循环/累积风险、文本解释风险、结算顺序风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 17%，同类复杂度分位 23%。
侯希白,战斗人物,黄易,大唐双龙传,2300,2.87,★★★☆☆,4.18,★★★★☆,低,持续输出、肉盾/生存、阵营/结盟、规则解释高风险,循环/累积风险、文本解释风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 67%，同类复杂度分位 67%。
寇仲,战斗人物,黄易,大唐双龙传,3200,2.32,★★☆☆☆,4.87,★★★★★,高,爆发输出、肉盾/生存、阵营/结盟、规则解释高风险,目标/来源风险、状态交互风险、循环/累积风险、文本解释风险、结算顺序风险,自动理解置信度不高、电子化/结算风险较高,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 28%，同类复杂度分位 87%。
了空,战斗人物,黄易,大唐双龙传,4100,1.78,★★☆☆☆,2.59,★★★☆☆,低,持续输出、阵营/结盟、规则解释高风险,循环/累积风险、文本解释风险、结算顺序风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 7%，同类复杂度分位 8%。
李靖,战斗人物,黄易,大唐双龙传,3500,2.7,★★★☆☆,3.05,★★★☆☆,低,爆发输出、肉盾/生存、位置/场景、阵营/结盟、规则解释高风险,目标/来源风险、文本解释风险、状态交互风险、空间状态风险、结算顺序风险,自动理解置信度不高,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 55%，同类复杂度分位 19%。
鲁妙子,战斗人物,黄易,大唐双龙传,900,3.03,★★★☆☆,3.94,★★★★☆,低,持续输出、控制/封锁、资源/学习、阵营/结盟,目标/来源风险、循环/累积风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 79%，同类复杂度分位 59%。
宁道奇,战斗人物,黄易,大唐双龙传,6000,3.08,★★★☆☆,3.81,★★★★☆,低,控制/封锁,目标/来源风险、结算顺序风险、状态交互风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 81%，同类复杂度分位 55%。
曲傲,战斗人物,黄易,大唐双龙传,3999,2.79,★★★☆☆,3.8,★★★★☆,低,爆发输出、肉盾/生存、位置/场景,状态交互风险、空间状态风险、结算顺序风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 62%，同类复杂度分位 55%。
师妃暄,战斗人物,黄易,大唐双龙传,1200,2.94,★★★☆☆,3.59,★★★★☆,低,爆发输出、肉盾/生存、位置/场景、阵营/结盟,状态交互风险、目标/来源风险、空间状态风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 72%，同类复杂度分位 44%。
石之轩,战斗人物,黄易,大唐双龙传,3100,3.03,★★★☆☆,3.91,★★★★☆,低,肉盾/生存、阵营/结盟,状态交互风险、文本解释风险、目标/来源风险、空间状态风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 79%，同类复杂度分位 58%。
宋缺,战斗人物,黄易,大唐双龙传,4000,3.77,★★★★☆,4.28,★★★★☆,低,爆发输出、持续输出、肉盾/生存、控制/封锁、阵营/结盟,状态交互风险、目标/来源风险、结算顺序风险,同类强度前 5%,第二轮按同类分布校正后，强度为 ★★★★☆；同类强度分位 95%，同类复杂度分位 72%。
婠婠,战斗人物,黄易,大唐双龙传,1200,2.5,★★☆☆☆,3.64,★★★★☆,低,肉盾/生存、位置/场景、阵营/结盟,状态交互风险、目标/来源风险、空间状态风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 40%，同类复杂度分位 46%。
席应,战斗人物,黄易,大唐双龙传,3400,2.25,★★☆☆☆,2.69,★★★☆☆,低,肉盾/生存、控制/封锁,状态交互风险、循环/累积风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 23%，同类复杂度分位 10%。
许开山,战斗人物,黄易,大唐双龙传,4500,2.86,★★★☆☆,3.29,★★★☆☆,低,持续输出、肉盾/生存、控制/封锁,结算顺序风险、循环/累积风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 66%，同类复杂度分位 30%。
徐子陵,战斗人物,黄易,大唐双龙传,3000,2.96,★★★☆☆,4.92,★★★★★,中,肉盾/生存、阵营/结盟、规则解释高风险,状态交互风险、目标/来源风险、结算顺序风险、文本解释风险,自动理解置信度不高,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 74%，同类复杂度分位 89%。
杨虚彦,战斗人物,黄易,大唐双龙传,2800,3.82,★★★★☆,4.88,★★★★★,中,爆发输出、持续输出、肉盾/生存、控制/封锁、位置/场景、阵营/结盟,循环/累积风险、状态交互风险、目标/来源风险、空间状态风险,自动理解置信度不高、同类强度前 5%,第二轮按同类分布校正后，强度为 ★★★★☆；同类强度分位 95%，同类复杂度分位 88%。
云帅,战斗人物,黄易,大唐双龙传,2400,2.34,★★☆☆☆,3.17,★★★☆☆,中,位置/场景,空间状态风险、文本解释风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 30%，同类复杂度分位 23%。
赵德言,战斗人物,黄易,大唐双龙传,3300,2.57,★★★☆☆,4.02,★★★★☆,中,控制/封锁、资源/学习、位置/场景、阵营/结盟,状态交互风险、目标/来源风险、空间状态风险、随机/人工裁定风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 44%，同类复杂度分位 63%。
祝玉妍,战斗人物,黄易,大唐双龙传,3900,2.59,★★★☆☆,4.19,★★★★☆,低,控制/封锁、位置/场景、阵营/结盟,状态交互风险、目标/来源风险、空间状态风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 47%，同类复杂度分位 68%。
左游仙,战斗人物,黄易,大唐双龙传,3094,1.67,★★☆☆☆,3.67,★★★★☆,低,待观察,状态交互风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 3%，同类复杂度分位 48%。
竺法庆,战斗人物,黄易,边荒传说,4600,2.54,★★★☆☆,2.78,★★★☆☆,低,肉盾/生存、控制/封锁、阵营/结盟,状态交互风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 42%，同类复杂度分位 11%。
鬼影,战斗人物,黄易,边荒传说,300,2.87,★★★☆☆,3.03,★★★☆☆,低,肉盾/生存,结算顺序风险、循环/累积风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 67%，同类复杂度分位 19%。
慕容垂,战斗人物,黄易,边荒传说,3500,2.34,★★☆☆☆,2.37,★★☆☆☆,低,肉盾/生存,状态交互风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 30%，同类复杂度分位 5%。
任遥,战斗人物,黄易,边荒传说,3500,2.83,★★★☆☆,3.02,★★★☆☆,低,肉盾/生存、阵营/结盟,结算顺序风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 65%，同类复杂度分位 18%。
孙恩,战斗人物,黄易,边荒传说,2500,3.05,★★★☆☆,3.95,★★★★☆,中,肉盾/生存、控制/封锁、胜负特判,目标/来源风险、结算顺序风险、循环/累积风险、状态交互风险、胜负裁定风险,自动理解置信度不高,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 80%，同类复杂度分位 60%。
向雨田,战斗人物,黄易,边荒传说,3500,2.92,★★★☆☆,3.64,★★★★☆,中,控制/封锁、位置/场景、胜负特判,状态交互风险、空间状态风险、目标/来源风险、胜负裁定风险、循环/累积风险、文本解释风险,自动理解置信度不高,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 70%，同类复杂度分位 46%。
谢玄,战斗人物,黄易,边荒传说,2600,2.7,★★★☆☆,3.27,★★★☆☆,低,持续输出、肉盾/生存、控制/封锁、胜负特判,胜负裁定风险、目标/来源风险、空间状态风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 55%，同类复杂度分位 28%。
燕飞,战斗人物,黄易,边荒传说,2300,3.26,★★★☆☆,3.81,★★★★☆,中,持续输出、肉盾/生存、控制/封锁、资源/学习,状态交互风险、目标/来源风险、空间状态风险、结算顺序风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 89%，同类复杂度分位 55%。
尤鸟倦,战斗人物,黄易,大唐双龙传,3900,2.7,★★★☆☆,3.52,★★★★☆,低,爆发输出、肉盾/生存、位置/场景,空间状态风险、结算顺序风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 55%，同类复杂度分位 40%。
白猿,战斗人物,金庸,越女剑,1400,3.74,★★★★☆,3.19,★★★☆☆,中,肉盾/生存、控制/封锁、资源/学习、阵营/结盟,状态交互风险、目标/来源风险、空间状态风险,,第二轮按同类分布校正后，强度为 ★★★★☆；同类强度分位 94%，同类复杂度分位 25%。
阿青,战斗人物,金庸,越女剑,1500,1.76,★★☆☆☆,1.91,★★☆☆☆,低,控制/封锁、规则解释高风险,文本解释风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 6%，同类复杂度分位 2%。
太岳四侠,战斗人物,金庸,鸳鸯刀,100*4,1.72,★★☆☆☆,2.05,★★☆☆☆,低,控制/封锁、阵营/结盟,,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 5%，同类复杂度分位 2%。
萧半和,战斗人物,金庸,鸳鸯刀,4000,2.58,★★★☆☆,2.6,★★★☆☆,低,爆发输出、肉盾/生存、阵营/结盟、胜负特判,状态交互风险、胜负裁定风险、随机/人工裁定风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 45%，同类复杂度分位 9%。
袁冠南 萧中慧,战斗人物,金庸,鸳鸯刀,4500,2.82,★★★☆☆,3.59,★★★★☆,高,肉盾/生存、控制/封锁、资源/学习、位置/场景、阵营/结盟,状态交互风险、空间状态风险、结算顺序风险,电子化/结算风险较高,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 64%，同类复杂度分位 44%。
周威信,战斗人物,金庸,鸳鸯刀,2400,1.87,★★☆☆☆,3.84,★★★★☆,中,控制/封锁、位置/场景、规则解释高风险,目标/来源风险、文本解释风险、状态交互风险、空间状态风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 11%，同类复杂度分位 56%。
成昆,战斗人物,金庸,倚天屠龙记,3000,2.58,★★★☆☆,4.6,★★★★★,中,持续输出、肉盾/生存、控制/封锁、阵营/结盟,结算顺序风险、状态交互风险,自动理解置信度不高,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 45%，同类复杂度分位 81%。
黛绮丝,战斗人物,金庸,倚天屠龙记,2600,1.82,★★☆☆☆,4.29,★★★★☆,低,持续输出、控制/封锁、阵营/结盟,文本解释风险、状态交互风险、目标/来源风险、结算顺序风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 9%，同类复杂度分位 72%。
渡厄 渡劫 渡难,战斗人物,金庸,倚天屠龙记,2500*3,2.24,★★☆☆☆,2.79,★★★☆☆,低,阵营/结盟,,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 22%，同类复杂度分位 12%。
范遥,战斗人物,金庸,倚天屠龙记,2500,1.8,★★☆☆☆,3.36,★★★☆☆,低,持续输出、肉盾/生存、阵营/结盟,状态交互风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 8%，同类复杂度分位 33%。
郭襄,战斗人物,金庸,倚天屠龙记,2100,2.96,★★★☆☆,4.85,★★★★★,中,爆发输出、持续输出、肉盾/生存、控制/封锁、阵营/结盟、胜负特判,状态交互风险、空间状态风险、胜负裁定风险,自动理解置信度不高,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 74%，同类复杂度分位 87%。
何足道,战斗人物,金庸,倚天屠龙记,4000,2.33,★★☆☆☆,3.42,★★★☆☆,低,持续输出、控制/封锁,状态交互风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 29%，同类复杂度分位 36%。
觉远,战斗人物,金庸,倚天屠龙记,5000,2.82,★★★☆☆,2.55,★★★☆☆,低,爆发输出、肉盾/生存,状态交互风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 64%，同类复杂度分位 8%。
空见,战斗人物,金庸,倚天屠龙记,2000,3.28,★★★☆☆,4.03,★★★★☆,低,爆发输出、肉盾/生存、位置/场景、阵营/结盟,状态交互风险、空间状态风险、结算顺序风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 89%，同类复杂度分位 63%。
灭绝师太,战斗人物,金庸,倚天屠龙记,2500,4.19,★★★★☆,4.85,★★★★★,中,爆发输出、持续输出、肉盾/生存、控制/封锁、位置/场景、阵营/结盟,状态交互风险、目标/来源风险,自动理解置信度不高、同类强度前 5%,第二轮按同类分布校正后，强度为 ★★★★☆；同类强度分位 100%，同类复杂度分位 87%。
俞莲舟,战斗人物,金庸,倚天屠龙记,2600,2.6,★★★☆☆,3.78,★★★★☆,低,爆发输出、持续输出、肉盾/生存、阵营/结盟、规则解释高风险,结算顺序风险、文本解释风险、状态交互风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 48%，同类复杂度分位 54%。
韦一笑,战斗人物,金庸,倚天屠龙记,2000,2.32,★★☆☆☆,4.19,★★★★☆,低,持续输出、控制/封锁,目标/来源风险、循环/累积风险、状态交互风险、空间状态风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 28%，同类复杂度分位 68%。
谢逊,战斗人物,金庸,倚天屠龙记,3500,3.56,★★★★☆,3.94,★★★★☆,低,爆发输出、控制/封锁,状态交互风险、随机/人工裁定风险,,第二轮按同类分布校正后，强度为 ★★★★☆；同类强度分位 90%，同类复杂度分位 59%。
玄冥二老,战斗人物,金庸,倚天屠龙记,2500*2,2.42,★★☆☆☆,4.23,★★★★☆,中,爆发输出、持续输出、资源/学习,循环/累积风险、状态交互风险、目标/来源风险、结算顺序风险、随机/人工裁定风险,自动理解置信度不高,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 36%，同类复杂度分位 70%。
杨逍,战斗人物,金庸,倚天屠龙记,2500,3.09,★★★☆☆,4.79,★★★★★,低,爆发输出、持续输出、肉盾/生存,状态交互风险、目标/来源风险,自动理解置信度不高,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 82%，同类复杂度分位 85%。
殷梨亭,战斗人物,金庸,倚天屠龙记,2500,3.17,★★★☆☆,3.66,★★★★☆,低,肉盾/生存、控制/封锁、阵营/结盟,状态交互风险、结算顺序风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 86%，同类复杂度分位 47%。
殷天正,战斗人物,金庸,倚天屠龙记,3700,2.59,★★★☆☆,4.53,★★★★★,低,持续输出、肉盾/生存、阵营/结盟,循环/累积风险、文本解释风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 47%，同类复杂度分位 79%。
张翠山,战斗人物,金庸,倚天屠龙记,2400,2.2,★★☆☆☆,3.31,★★★☆☆,低,阵营/结盟、规则解释高风险,文本解释风险、状态交互风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 18%，同类复杂度分位 31%。
张三丰,战斗人物,金庸,倚天屠龙记,5000,1.78,★★☆☆☆,3.98,★★★★☆,低,肉盾/生存、控制/封锁、阵营/结盟,状态交互风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 7%，同类复杂度分位 61%。
张无忌,战斗人物,金庸,倚天屠龙记,2800,3.12,★★★☆☆,4.8,★★★★★,高,爆发输出、持续输出、肉盾/生存、资源/学习、阵营/结盟,状态交互风险、目标/来源风险、随机/人工裁定风险,自动理解置信度不高、电子化/结算风险较高,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 83%，同类复杂度分位 85%。
赵敏,战斗人物,金庸,倚天屠龙记,1600,2.16,★★☆☆☆,4.28,★★★★☆,低,持续输出、阵营/结盟,状态交互风险、循环/累积风险、目标/来源风险、结算顺序风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 15%，同类复杂度分位 72%。
周芷若,战斗人物,金庸,倚天屠龙记,2000,3.9,★★★★☆,4.72,★★★★★,中,爆发输出、持续输出、肉盾/生存、控制/封锁,状态交互风险、目标/来源风险,自动理解置信度不高、同类强度前 5%,第二轮按同类分布校正后，强度为 ★★★★☆；同类强度分位 96%，同类复杂度分位 84%。
宋远桥,战斗人物,金庸,倚天屠龙记,4000,2.82,★★★☆☆,4.46,★★★★☆,低,爆发输出、持续输出、肉盾/生存、阵营/结盟、规则解释高风险,文本解释风险、循环/累积风险、状态交互风险、目标/来源风险、结算顺序风险,自动理解置信度不高,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 64%，同类复杂度分位 77%。
胡一刀,战斗人物,金庸,雪山飞狐,3001,2.54,★★★☆☆,3.26,★★★☆☆,低,持续输出、肉盾/生存、控制/封锁,循环/累积风险、状态交互风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 42%，同类复杂度分位 27%。
苗人凤,战斗人物,金庸,雪山飞狐,2700,3.62,★★★★☆,4.05,★★★★☆,低,持续输出、肉盾/生存、控制/封锁、胜负特判,循环/累积风险、胜负裁定风险、文本解释风险、状态交互风险,,第二轮按同类分布校正后，强度为 ★★★★☆；同类强度分位 92%，同类复杂度分位 63%。
般剌密谛,战斗人物,金庸,笑傲江湖,3000,1.8,★★☆☆☆,2.33,★★☆☆☆,低,肉盾/生存,状态交互风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 8%，同类复杂度分位 4%。
